"SYMBOL","Common Name"
"2LCS","Lichen, crustose, suffruticose"
"2LF","Lichen, foliose"
"2LFL","Lichen, foliose, laciniate"
"2LFU","Lichen, foliose, umbilicate"
"2LUV","Lichen, fruiticose, vertical thallus"
"2LU","Lichen, fruticose"
"2LUF","Lichen, fruticose, fenestrate lobes"
"2LUR","Lichen, fruticose, radial symmetric thallus with fibrils"
"2LTR","Litter"
"2LTRH","Litter, herbaceous"
"2LTRL","Litter, lichen"
"2LTRWS","Litter, woody, <2.5 cm"
"2LTRWL","Litter, woody, >2.5 cm"
"2LW","Liverwort"
"2LWL","Liverwort, leafy"
"2LWT","Liverwort, thallose"
"2MOSS","Moss"
"2PLANT","Plant"
"2PROT","Protista"
"2RB","Rock, bedrock"
"2RF","Rock, fragments"
"2SHRUB","Shrub (>.5m)"
"2SB","Shrub, broadleaf"
"2SD","Shrub, deciduous"
"2SDB","Shrub, deciduous, broadleaf"
"2SDBD","Shrub, deciduous, broadleaf, dicot"
"2SDBM","Shrub, deciduous, broadleaf, monocot"
"2SDN","Shrub, deciduous, needleleaf"
"2SE","Shrub, evergreen"
"2SEB","Shrub, evergreen, broadleaf"
"2SEBD","Shrub, evergreen, broadleaf, dicot"
"2SEBM","Shrub, evergreen, broadleaf, monocot"
"2SEN","Shrub, evergreen, needleleaf"
"2SN","Shrub, needleleaf (coniferous)"
"2S","Shrub, other"
"2SS","Shrub, succulent"
"2SSL","Shrub, succulent, leaf"
"2SSS","Shrub, succulent, stem"
"2SLIME","Slime Mold"
"2SUBS","Subshrub (<.5m)"
"2SSB","Subshrub, broadleaf"
"2SSD","Subshrub, deciduous"
"2SSDB","Subshrub, deciduous, broadleaf"
"2SSDBD","Subshrub, deciduous, broadleaf, dicot"
"2SSDBM","Subshrub, deciduous, broadleaf, monocot"
"2SSDN","Subshrub, deciduous, needleleaf"
"2SSE","Subshrub, evergreen"
"2SSEB","Subshrub, evergreen, broadleaf"
"2SSEBD","Subshrub, evergreen, broadleaf, dicot"
"2SSEBM","Subshrub, evergreen, broadleaf, monocot"
"2SSEN","Subshrub, evergreen, needleleaf"
"2SSN","Subshrub, needleleaf (coniferous)"
"2SSS2","Subshrub, succulent"
"2SSSL","Subshrub, succulent, leaf"
"2SSSS","Subshrub, succulent, stem"
"2TREE","Tree"
"2TB","Tree, broadleaf"
"2TD","Tree, deciduous"
"2TDB","Tree, deciduous, broadleaf"
"2TDBD","Tree, deciduous, broadleaf, dicot"
"2TDBM","Tree, deciduous, broadleaf, monocot"
"2TDN","Tree, deciduous, needleleaf"
"2TE","Tree, evergreen"
"2TEB","Tree, evergreen, broadleaf"
"2TEBD","Tree, evergreen, broadleaf, dicot"
"2TEBM","Tree, evergreen, broadleaf, monocot"
"2TEN","Tree, evergreen, needleleaf"
"2TN","Tree, needleleaf (coniferous)"
"2TS","Tree, succulent"
"2TSL","Tree, succulent, leaf"
"2TSS","Tree, succulent, stem"
"2VH","Vine, herbaceous"
"2VHA","Vine, herbaceous, annual"
"2VHD","Vine, herbaceous, dicot"
"2VHDA","Vine, herbaceous, dicot, annual"
"2VHDP","Vine, herbaceous, dicot, perennial"
"2VHM","Vine, herbaceous, monocot"
"2VHMA","Vine, herbaceous, monocot, annual"
"2VHMP","Vine, herbaceous, monocot, perennial"
"2VHP","Vine, herbaceous, perennial"
"2VHS","Vine, herbaceous, succulent"
"2VHSA","Vine, herbaceous, succulent, annual"
"2VHSP","Vine, herbaceous, succulent, perennial"
"2VW","Vine, woody"
"2VWD","Vine, woody, deciduous"
"2VWDD","Vine, woody, deciduous, dicot"
"2VWDM","Vine, woody, deciduous, monocot"
"2VWE","Vine, woody, evergreen"
"2VWED","Vine, woody, evergreen, dicot"
"2VWEM","Vine, woody, evergreen, monocot"
"2W","Water"
