accsym,syn,sym,taxon
NIQUW,,NIQUW,Nicotiana quadrivalvis var. wallacei
NIRE,,NIRE,Nicotiana repanda
NIRU,,NIRU,Nicotiana rustica
NISU,,NISU,Nicotiana suaveolens
NISY,,NISY,Nicotiana sylvestris
NITA,,NITA,Nicotiana tabacum
NITO,,NITO,Nicotiana tomentosa
NIOBO,NITR,NITR,Nicotiana trigonophylla
NIOBP,NITRP,NITRP,Nicotiana trigonophylla var. palmeri
NIVE2,,NIVE2,Nicotiana velutina
NISA,,NISA,Nicotiana ×sanderae
NIDEM,,NIDEM,Nidema
NIOT,,NIOT,Nidema ottonis
NIEBL,,NIEBL,Niebla
NICA,,NICA,Niebla caespitosa
VECE2,NICE,NICE,Niebla cephalota
VECE4,NICE3,NICE3,Niebla ceruchoides
VECO7,NICO2,NICO2,Niebla combeoides
NICO3,,NICO3,Niebla cornea
NIDA2,,NIDA2,Niebla dactylifera
NIDI,,NIDI,Niebla disrupta
NIDI2,,NIDI2,Niebla dissecta
NIEB,,NIEB,Niebla eburnea
NIFI,,NIFI,Niebla fimbriata
NIFL2,,NIFL2,Niebla flagelliforma
NIHA,,NIHA,Niebla halei
NIHO,,NIHO,Niebla homalea
NIIN,,NIIN,Niebla infundibula
NIIS,,NIIS,Niebla isidiascens
VELA9,NILA2,NILA2,Niebla laevigata
NILA3,,NILA3,Niebla laminaria
NIPA3,,NIPA3,Niebla palmeri
VEPO5,NIPO,NIPO,Niebla polymorpha
VEPR6,NIPR,NIPR,Niebla procera
NIRA,,NIRA,Niebla ramosissima
VERO4,NIRO,NIRO,Niebla robusta
NISI,,NISI,Niebla siphonoloba
NISO,,NISO,Niebla sorediata
NISO2,,NISO2,Niebla sorocarpia
NITE,,NITE,Niebla testudinaria
VETU2,NITU,NITU,Niebla tuberculata
NIUN,,NIUN,Niebla undulata
NIERE,,NIERE,Nierembergia
NISC2,NIFR,NIFR,Nierembergia frutescens
NIHI,,NIHI,Nierembergia hippomanica
NIHIC,,NIHIC,Nierembergia hippomanica var. caerulea
NISC2,,NISC2,Nierembergia scoparia
HUTE2,NIVI2,NIVI2,Nierembergia viscosa
NIGEL,,NIGEL,Nigella
NIDA,,NIDA,Nigella damascena
NIHI2,,NIHI2,Nigella hispanica
NISA2,,NISA2,Nigella sativa
LOJA,NIJA,NIJA,Nintooa japonica
HOVE,NICA2,NICA2,Niobe caerulea
HOVE,NICO,NICO,Niobe coerulea
HOLA3,NIJA2,NIJA2,Niobe japonica
ANPE13,NIPE,NIPE,Niopa peregrina
NIPHI,,NIPHI,Niphidium
NICR,,NICR,Niphidium crassifolium
NIPPO,,NIPPO,Nipponanthemum
NINI,,NINI,Nipponanthemum nipponicum
NISSO,,NISSO,Nissolia
NIPL,,NIPL,Nissolia platycalyx
NISC,,NISC,Nissolia schottii
NIWI,,NIWI,Nissolia wislizeni
NITRO,,NITRO,Nitrophila
NIMO,,NIMO,Nitrophila mohavensis
NIOC2,,NIOC2,Nitrophila occidentalis
LAMO5,NOMO,NOMO,Nocca mollis
NOCCA,,NOCCA,Noccaea
NOAR2,,NOAR2,Noccaea arctica
NOFEC,NOCA3,NOCA3,Noccaea californica
NOCO3,,NOCO3,Noccaea cochleariformis
NOFEG,NOCO6,NOCO6,Noccaea coloradensis
NOFE3,,NOFE3,Noccaea fendleri
NOFEC,,NOFEC,Noccaea fendleri ssp. californica
NOFEF,,NOFEF,Noccaea fendleri ssp. fendleri
NOFEG,,NOFEG,Noccaea fendleri ssp. glauca
NOFEI,,NOFEI,Noccaea fendleri ssp. idahoensis
NOFES,,NOFES,Noccaea fendleri ssp. siskiyouensis
NOFEI,NOID,NOID,Noccaea idahoensis
NOFEI,NOIDA,NOIDA,Noccaea idahoensis var. aileeniae
NOFEI,NOIDI,NOIDI,Noccaea idahoensis var. idahoensis
NOMO2,,NOMO2,Noccaea montana
NOAR2,NOMOA,NOMOA,Noccaea montana ssp. arctica
NOFEF,NOMOF,NOMOF,Noccaea montana var. fendleri
NOFEG,NOMOM,NOMOM,Noccaea montana var. montana
NOFES,NOMOS,NOMOS,Noccaea montana var. siskiyouensis
NOPA5,,NOPA5,Noccaea parviflora
NODOB,,NODOB,Nodobryoria
NOAB,,NOAB,Nodobryoria abbreviata
NOOR3,,NOOR3,Nodobryoria oregana
NOSU2,,NOSU2,Nodobryoria subdivergens
NOLIN,,NOLIN,Nolina
NOTE,NOAF2,NOAF2,Nolina affinis
NOAR,,NOAR,Nolina arenicola
NOAT,,NOAT,Nolina atopocarpa
NOBI,,NOBI,Nolina bigelovii
NOPA,NOBIP,NOBIP,Nolina bigelovii var. parryi
NOPA,NOBIW,NOBIW,Nolina bigelovii var. wolfii
NOBR,,NOBR,Nolina brittoniana
NOCI,,NOCI,Nolina cismontana
NOER,,NOER,Nolina erumpens
NOGE,,NOGE,Nolina georgiana
NOGR5,,NOGR5,Nolina greenei
NOIN,,NOIN,Nolina interrata
NOLI,,NOLI,Nolina lindheimeriana
NOMI2,,NOMI2,Nolina micrantha
NOMI,,NOMI,Nolina microcarpa
NOPA,,NOPA,Nolina parryi
NOPA,NOPAW2,NOPAW2,Nolina parryi ssp. wolfii
NOTE,,NOTE,Nolina texana
NOTE,NOTEC,NOTEC,Nolina texana var. compacta
NOPA,NOWO,NOWO,Nolina wolfii
NOMAP,,NOMAP,Nomaphila
NOST3,,NOST3,Nomaphila stricta
NONEA,,NONEA,Nonea
NOLU,,NOLU,Nonea lutea
NORO,,NORO,Nonea rosea
02-Nov,,02-Nov,Nonea versicolor
NOVE,,NOVE,Nonea vesicaria
OPCO4,NOCO4,NOCO4,Nopalea cochenillifera
NORMA,,NORMA,Normandina
NOPU,,NOPU,Normandina pulchella
NORON,,NORON,Noronhia
NOEM,,NOEM,Noronhia emarginata
SIAL2,NOAL3,NOAL3,Norta altissima
SIIR,NOIR,NOIR,Norta irio
NOTHO5,,NOTHO5,Nothocalais
NOAL2,,NOAL2,Nothocalais alpestris
NOCU,,NOCU,Nothocalais cuspidata
NONI,,NONI,Nothocalais nigrescens
NOTR2,,NOTR2,Nothocalais troximoides
NOTHO3,,NOTHO3,Nothocestrum
NOBR2,,NOBR2,Nothocestrum breviflorum
NOBR2,NOBRL,NOBRL,Nothocestrum breviflorum var. longipes
NOBR2,NOBRR,NOBRR,Nothocestrum brevifolium var. rupilosum
NOPE,NOIN5,NOIN5,Nothocestrum inconcinnum
NOLA,,NOLA,Nothocestrum latifolium
NOLO,,NOLO,Nothocestrum longifolium
NOLO,NOLOB,NOLOB,Nothocestrum longifolium var. brevifolium
NOLO,NOLOR,NOLOR,Nothocestrum longifolium var. rufipilosum
NOPE,,NOPE,Nothocestrum peltatum
NOLA,NOSU,NOSU,Nothocestrum subcordatum
NOTHO4,,NOTHO4,Nothochelone
NONE3,,NONE3,Nothochelone nemorosa
NOTHO7,,NOTHO7,Nothofagus
NODO,,NODO,Nothofagus dombeyi
NOOB,,NOOB,Nothofagus obliqua
HOLA,NOLA2,NOLA2,Nothoholcus lanatus
NOTHO,,NOTHO,Notholaena
NOAL,,NOAL,Notholaena aliena
NOAS,,NOAS,Notholaena aschenborniana
CHBO5,NOAU,NOAU,Notholaena aurea
NOCA,,NOCA,Notholaena californica
NOCAC2,,NOCAC2,Notholaena californica ssp. californica
NOCAL,,NOCAL,Notholaena californica ssp. leucophylla
NOCAC2,NOCAN,NOCAN,Notholaena californica ssp. nigrescens
NOCAC2,NOCAA,NOCAA,Notholaena candida var. accessita
NOCO5,NOCAC,NOCAC,Notholaena candida var. copelandii
ASCOC3,NOCO2,NOCO2,Notholaena cochisensis
NOCO5,,NOCO5,Notholaena copelandii
ARDE5,NODE,NODE,Notholaena dealbata
ARFE5,NOFE,NOFE,Notholaena fendleri
NOGR,,NOGR,Notholaena grayi
NOGRG,,NOGRG,Notholaena grayi ssp. grayi
NOGRS,,NOGRS,Notholaena grayi ssp. sonorensis
NOGR2,,NOGR2,Notholaena greggii
ARIN11,NOIN4,NOIN4,Notholaena incana
ASIN19,NOIN2,NOIN2,Notholaena integerrima
ARJO2,NOJO,NOJO,Notholaena jonesii
NOLE,,NOLE,Notholaena lemmonii
ARLIL,NOLI2,NOLI2,Notholaena limitanea
ARLIM,NOLIM2,NOLIM2,Notholaena limitanea ssp. mexicana
ARLIM,NOLIM,NOLIM,Notholaena limitanea var. mexicana
NONE4,,NONE4,Notholaena nealleyi
NOSC2,NONEM,NONEM,Notholaena nealleyi var. mexicana
NONE,,NONE,Notholaena neglecta
CHNE2,NONE2,NONE2,Notholaena newberryi
CHPA4,NOPA2,NOPA2,Notholaena parryi
ARMI6,NOPA3,NOPA3,Notholaena parvifolia
NOSC2,,NOSC2,Notholaena schaffneri
NOSC2,NOSCM,NOSCM,Notholaena schaffneri var. mexicana
NONE4,NOSCN,NOSCN,Notholaena schaffneri var. nealleyi
ASSIS,NOSI,NOSI,Notholaena sinuata
ASCOC3,NOSIC2,NOSIC2,Notholaena sinuata var. cochisensis
ASIN19,NOSII2,NOSII2,Notholaena sinuata var. integerrima
NOST,,NOST,Notholaena standleyi
NOTR,,NOTR,Notholaena trichomanoides
NOTHO9,,NOTHO9,Notholithocarpus
NODE3,,NODE3,Notholithocarpus densiflorus
NODEA,,NODEA,Notholithocarpus densiflorus f. attenuatodentatus
NODED,,NODED,Notholithocarpus densiflorus var. densiflorus
NODEE,,NODEE,Notholithocarpus densiflorus var. echinoides
POFR5,NOFR2,NOFR2,Nothopanax fruticosus
POCU14,NOPI,NOPI,Nothopanax pinnatus
NOTHO6,,NOTHO6,Nothoperanema
NORU,,NORU,Nothoperanema rubiginosum
NOTHO2,,NOTHO2,Nothoscordum
NOBI2,,NOBI2,Nothoscordum bivalve
NOBO,,NOBO,Nothoscordum borbonicum
NOBO,NOFR3,NOFR3,Nothoscordum fragrans
NOGR3,NOFR,NOFR,Nothoscordum fragrans
NOBO,NOGR4,NOGR4,Nothoscordum gracile
NOGR3,,NOGR3,Nothoscordum gracile
ALNE3,NOIN3,NOIN3,Nothoscordum inodorum
NOBO,NOIN6,NOIN6,Nothoscordum inodorum
NOTE2,,NOTE2,Nothoscordum texanum
NOTOC,,NOTOC,Notocactus
PACO56,NOTA,NOTA,Notocactus tabularis
NOTOT2,,NOTOT2,Notothylas
NOBR3,NOAM,NOAM,Notothylas amazonica
NOORO,NOAN,NOAN,Notothylas angolensis
NOBR3,,NOBR3,Notothylas breutelii
NOBR3,NOCU2,NOCU2,Notothylas cubana
NOORO,NODE2,NODE2,Notothylas decurva
NOORO,NOFE2,NOFE2,Notothylas fertilis
NOORO,NOJA,NOJA,Notothylas japonica
NOORO,NOME,NOME,Notothylas melanospora
NOOR,,NOOR,Notothylas orbicularis
NOORO,,NOORO,Notothylas orbicularis var. orbicularis
NOORP,,NOORP,Notothylas orbicularis var. pseudotemperata
NOORO,NOVA,NOVA,Notothylas valvata
NOTOT,,NOTOT,Nototrichium
NODI,,NODI,Nototrichium divaricatum
NOHU,,NOHU,Nototrichium humile
NOHU,NOHUP,NOHUP,Nototrichium humile var. parvifolium
NOHU,NOHUS,NOHUS,Nototrichium humile var. subrhomboideum
NOSA,,NOSA,Nototrichium sandwicense
NOSA,NOSAD,NOSAD,Nototrichium sandwicense var. decipiens
NOSA,NOSAD2,NOSAD2,Nototrichium sandwicense var. dubium
NOSA,NOSAF,NOSAF,Nototrichium sandwicense var. forbesii
NOSA,NOSAH,NOSAH,Nototrichium sandwicense var. helleri
NOSA,NOSAK2,NOSAK2,Nototrichium sandwicense var. kauaiense
NOSA,NOSAK,NOSAK,Nototrichium sandwicense var. kolekolense
NOSA,NOSAL3,NOSAL3,Nototrichium sandwicense var. lanaiense
NOSA,NOSAL4,NOSAL4,Nototrichium sandwicense var. lanceolatum
NOSA,NOSAL5,NOSAL5,Nototrichium sandwicense var. latifolium
NOSA,NOSAL,NOSAL,Nototrichium sandwicense var. leptopodum
NOSA,NOSAL2,NOSAL2,Nototrichium sandwicense var. longispicatum
NOSA,NOSAM,NOSAM,Nototrichium sandwicense var. macrophyllum
NOSA,NOSAM2,NOSAM2,Nototrichium sandwicense var. mauiense
NOSA,NOSAN,NOSAN,Nototrichium sandwicense var. niihauense
NOSA,NOSAO,NOSAO,Nototrichium sandwicense var. olokeleanum
NOSA,NOSAP,NOSAP,Nototrichium sandwicense var. pulchelloides
NOSA,NOSAP2,NOSAP2,Nototrichium sandwicense var. pulchellum
NOSA,NOSAS,NOSAS,Nototrichium sandwicense var. subcordatum
NOSA,NOSAS2,NOSAS2,Nototrichium sandwicense var. syringifolium
NOSA,NOVI,NOVI,Nototrichium viride
NOSA,NOVIK,NOVIK,Nototrichium viride var. kalaupapae
NOSA,NOVIO,NOVIO,Nototrichium viride var. oblongifolium
NOSA,NOVIS,NOVIS,Nototrichium viride var. subtruncatum
GEGL2,NOGL,NOGL,Novosieversia glacialis
NOWEL,,NOWEL,Nowellia
NOCU3,,NOCU3,Nowellia curvifolia
POIM3,NOIM,NOIM,Nowodworkya imberbis
LYRA3,NURA,NURA,Nummularia radicans
NUPHA,,NUPHA,Nuphar
NULUA,NUAD2,NUAD2,Nuphar advena
NULUA,NUADO,NUADO,Nuphar advena ssp. ozarkana
NULUU,NUADU,NUADU,Nuphar advena ssp. ulvacea
NULUV,NUADF,NUADF,Nuphar advena var. fraterna
NULUA,NUADT,NUADT,Nuphar advena var. tomentosa
NULUA,NUFL2,NUFL2,Nuphar fluviatilis
NULU,,NULU,Nuphar lutea
NULUA,,NULUA,Nuphar lutea ssp. advena
NULUA,NULUM2,NULUM2,Nuphar lutea ssp. macrophylla
NULUO,,NULUO,Nuphar lutea ssp. orbiculata
NULUA,NULUO2,NULUO2,Nuphar lutea ssp. ozarkana
NULUP,,NULUP,Nuphar lutea ssp. polysepala
NULUP2,,NULUP2,Nuphar lutea ssp. pumila
NULUR,,NULUR,Nuphar lutea ssp. rubrodisca
NULUS,,NULUS,Nuphar lutea ssp. sagittifolia
NULUU,,NULUU,Nuphar lutea ssp. ulvacea
NULUV,,NULUV,Nuphar lutea ssp. variegata
NULUA,NUMI3,NUMI3,Nuphar microcarpa
NULUP2,NUMI4,NUMI4,Nuphar microphylla
NULUO,NUOR,NUOR,Nuphar orbiculata
NULUA,NUOV,NUOV,Nuphar ovata
NULUA,NUOZ,NUOZ,Nuphar ozarkana
NULUP,NUPO2,NUPO2,Nuphar polysepala
NULUP2,NUPU2,NUPU2,Nuphar pumila
NULUA,NUPU,NUPU,Nuphar puteora
NULUR,NURU2,NURU2,Nuphar rubrodisca
NULUS,NUSA2,NUSA2,Nuphar sagittifolia
NULUV,NUVA2,NUVA2,Nuphar variegata
NULUA,NUIN,NUIN,Nuphar ×interfluitans
NUTTA,,NUTTA,Nuttallanthus
NUCA,,NUCA,Nuttallanthus canadensis
NUFL,,NUFL,Nuttallanthus floridanus
NUTE,,NUTE,Nuttallanthus texanus
MEAR5,NUAR,NUAR,Nuttallia argillosa
OECE,NUCE,NUCE,Nuttallia cerasiformis
MECH,NUCH,NUCH,Nuttallia chrysantha
MECR4,NUCR,NUCR,Nuttallia cronquistii
MEDE2,NUDE,NUDE,Nuttallia decapetala
MEDE3,NUDE2,NUDE2,Nuttallia densa
MEHUH,NUHU,NUHU,Nuttallia humilis
MELA,NULA,NULA,Nuttallia laciniata
MELAL3,NULA2,NULA2,Nuttallia laevicaulis
MEMA5,NUMA,NUMA,Nuttallia marginata
MEMUM,NUMU,NUMU,Nuttallia multicaulis
MEMUM2,NUMU2,NUMU2,Nuttallia multiflora
MENUN,NUNU,NUNU,Nuttallia nuda
MEPT,NUPT,NUPT,Nuttallia pterosperma
MERE2,NURE,NURE,Nuttallia reverchonii
MERU,NURU,NURU,Nuttallia rusbyi
MESI,NUSI,NUSI,Nuttallia sinuata
MESP4,NUSP,NUSP,Nuttallia speciosa
MENUS,NUST,NUST,Nuttallia stricta
PACHC,NYPU,NYPU,Nyachia pulvinata
NYCTA,,NYCTA,Nyctaginia
NYCA,,NYCA,Nyctaginia capitata
ELNY,NYNY2,NYNY2,Nyctelea nyctelea
ORGY,NYGY,NYGY,Nyholmiella gymnostoma
OROB70,NYOB,NYOB,Nyholmiella obtusifolia
NYLAN,,NYLAN,Nylandtia
NYSP,,NYSP,Nylandtia spinosa
NYMPH,,NYMPH,Nymphaea
NULUA,NYAD,NYAD,Nymphaea advena
NYAL,,NYAL,Nymphaea alba
NYAM,,NYAM,Nymphaea amazonum
NYAM2,,NYAM2,Nymphaea ampla
NYAMA,,NYAMA,Nymphaea ampla var. ampla
NYAMP,,NYAMP,Nymphaea ampla var. pulchella
NYJA,NYBL,NYBL,Nymphaea blanda
NYGL,NYBLF,NYBLF,Nymphaea blanda var. fenzliana
NULUO,NYBO,NYBO,Nymphaea bombycina
NYCA3,,NYCA3,Nymphaea caerulea
NYCA2,,NYCA2,Nymphaea capensis
NYCAC2,,NYCAC2,Nymphaea capensis var. capensis
NYCAC2,NYCAZ,NYCAZ,Nymphaea capensis var. zanzibariensis
NULUA,NYCH,NYCH,Nymphaea chartacea
NYCO2,,NYCO2,Nymphaea conardii
NYEL,,NYEL,Nymphaea elegans
NULUA,NYFL,NYFL,Nymphaea fluviatilis
NULUV,NYFR,NYFR,Nymphaea fraterna
NYGL,,NYGL,Nymphaea glandulifera
NYJA,,NYJA,Nymphaea jamesoniana
NYLE,,NYLE,Nymphaea leibergii
NYLO,,NYLO,Nymphaea lotus
NULUA,NYMA,NYMA,Nymphaea macrophylla
NYME,,NYME,Nymphaea mexicana
NYODO,NYMI,NYMI,Nymphaea minor
NYOD,,NYOD,Nymphaea odorata
NYODO,,NYODO,Nymphaea odorata ssp. odorata
NYODT,,NYODT,Nymphaea odorata ssp. tuberosa
NYODO,NYODG,NYODG,Nymphaea odorata var. gigantea
NYODO,NYODG2,NYODG2,Nymphaea odorata var. godfreyi
NYODT,NYODM,NYODM,Nymphaea odorata var. maxima
NYODO,NYODM2,NYODM2,Nymphaea odorata var. minor
NYODO,NYODR,NYODR,Nymphaea odorata var. rosea
NYODO,NYODS,NYODS,Nymphaea odorata var. stenopetala
NYODO,NYODV,NYODV,Nymphaea odorata var. villosa
NULUO,NYOR,NYOR,Nymphaea orbiculata
NELU,NYPE2,NYPE2,Nymphaea pentapetala
NULUP,NYPO,NYPO,Nymphaea polysepala
NYAMP,NYPU2,NYPU2,Nymphaea pulchella
NYODO,NYRE,NYRE,Nymphaea reniformis
NULUR,NYRU2,NYRU2,Nymphaea rubrodisca
NYRU,,NYRU,Nymphaea rudgeana
NULUS,NYSA,NYSA,Nymphaea sagittifolia
NYTE,,NYTE,Nymphaea tetragona
NYLE,NYTEL,NYTEL,Nymphaea tetragona ssp. leibergii
NYLE,NYTEL2,NYTEL2,Nymphaea tetragona var. leibergii
NYODT,NYTU,NYTU,Nymphaea tuberosa
NULUU,NYUL,NYUL,Nymphaea ulvacea
NYCAC2,NYZA,NYZA,Nymphaea zanzibariensis
NYDA,,NYDA,Nymphaea ×daubenyana
NYMA2,,NYMA2,Nymphaea ×marliacea
NYTH,,NYTH,Nymphaea ×thiona
NYMPH2,,NYMPH2,Nymphoides
NYAQ,,NYAQ,Nymphoides aquatica
NYAQ3,,NYAQ3,Nymphoides aquatica × cordata
NYCO,,NYCO,Nymphoides cordata
NYCR,,NYCR,Nymphoides cristata
NYHU,,NYHU,Nymphoides humboldtiana
NYCR,NYHY,NYHY,Nymphoides hydrophylla
NYIN,,NYIN,Nymphoides indica
NYCO,NYLA,NYLA,Nymphoides lacunosa
NYPE,NYNY,NYNY,Nymphoides nymphaeoides
NYPE,,NYPE,Nymphoides peltata
NULUA,NYAD2,NYAD2,Nymphozanthus advena
NULUA,NYOZ,NYOZ,Nymphozanthus ozarkanus
NULUP,NYPO2,NYPO2,Nymphozanthus polysepalus
NULUR,NYRU3,NYRU3,Nymphozanthus rubrodiscus
NULUS,NYSA2,NYSA2,Nymphozanthus sagittifolius
NYPA,,NYPA,Nypa
NYFR2,,NYFR2,Nypa fruticans
NYSSA,,NYSSA,Nyssa
NYOG,NYAC,NYAC,Nyssa acuminata
NYAQ2,,NYAQ2,Nyssa aquatica
NYBI,,NYBI,Nyssa biflora
NYOG,,NYOG,Nyssa ogeche
NYSY,,NYSY,Nyssa sylvatica
NYBI,NYSYB,NYSYB,Nyssa sylvatica var. biflora
NYSY,NYSYC,NYSYC,Nyssa sylvatica var. caroliniana
NYSY,NYSYD,NYSYD,Nyssa sylvatica var. dilatata
NYSY,NYSYT,NYSYT,Nyssa sylvatica var. typica
NYUR2,NYSYU,NYSYU,Nyssa sylvatica var. ursina
NYAQ2,NYUN,NYUN,Nyssa uniflora
NYUR2,,NYUR2,Nyssa ursina
UVFL,OAFL,OAFL,Oakesiella floridana
UVPU2,OAPU,OAPU,Oakesiella puberula
UVSE,OASE,OASE,Oakesiella sessilifolia
SIVU,OBCO,OBCO,Oberna commutata
OBERO,,OBERO,Oberonia
OBPA,,OBPA,Oberonia palawensis
OBRO,,OBRO,Oberonia rotunda
ATACA,OBAC,OBAC,Obione acanthocarpa
OBOLA,,OBOLA,Obolaria
OBVI,,OBVI,Obolaria virginica
ZILE,OCLE2,OCLE2,Oceanorus leimanthoides
OCELL,,OCELL,Ocellularia
THAB4,OCAB,OCAB,Ocellularia abrosella
OCAM,,OCAM,Ocellularia americana
OCAU,,OCAU,Ocellularia auberiana
MAOC2,OCCA3,OCCA3,Ocellularia carnea
OCCA,,OCCA,Ocellularia cavata
OCCO3,,OCCO3,Ocellularia concolor
OCEM,,OCEM,Ocellularia emersa
OCFI,,OCFI,Ocellularia fissa
THPO12,OCFL2,OCFL2,Ocellularia floridensis
MYGL3,OCGL2,OCGL2,Ocellularia glaucophaea
OCGR4,,OCGR4,Ocellularia granulosa
THLA9,OCLA4,OCLA4,Ocellularia lathraea
OCLE3,,OCLE3,Ocellularia leiostoma
OCLE3,OCME2,OCME2,Ocellularia meiosperma
MYMI4,OCMI3,OCMI3,Ocellularia micropora
MYBA4,OCOB,OCOB,Ocellularia obturascens
OCPR,,OCPR,Ocellularia praestans
OCRE,,OCRE,Ocellularia retispora
OCSA4,,OCSA4,Ocellularia sanfordiana
OCST,,OCST,Ocellularia stictidea
THSU6,OCSU4,OCSU4,Ocellularia subtilis
MYTE2,OCTE,OCTE,Ocellularia terebratula
OCHNA,,OCHNA,Ochna
OCJA,,OCJA,Ochna jabotapita
OCTH,OCKI3,OCKI3,Ochna kirkii
OCMO4,,OCMO4,Ochna mossambicensis
OCSE2,,OCSE2,Ochna serrulata
OCTH,,OCTH,Ochna thomasiana
FRPU2,OCPU,OCPU,Ochrocodon pudicus
OCHRO3,,OCHRO3,Ochrolechia
OCAF,,OCAF,Ochrolechia africana
OCAN,,OCAN,Ochrolechia androgyna
OCAN2,,OCAN2,Ochrolechia antillarum
OCAR,,OCAR,Ochrolechia arborea
OCBR,,OCBR,Ochrolechia bryophaga
OCOR60,OCCA2,OCCA2,Ochrolechia californica
OCFR60,OCEL2,OCEL2,Ochrolechia elisabethae-kolae
OCFA,,OCFA,Ochrolechia farinacea
OCFR60,,OCFR60,Ochrolechia frigida
PEGE2,OCGE,OCGE,Ochrolechia geminipara
OCFR60,OCGO,OCGO,Ochrolechia gonatodes
OCGO2,,OCGO2,Ochrolechia gowardii
OCGR2,,OCGR2,Ochrolechia grimmiae
OCGR3,,OCGR3,Ochrolechia groenlandica
OCGY,,OCGY,Ochrolechia gyalectina
OCIN60,,OCIN60,Ochrolechia inaequatula
OCJU,,OCJU,Ochrolechia juvenalis
OCLA3,,OCLA3,Ochrolechia laevigata
OCME3,,OCME3,Ochrolechia mexicana
OCMO3,,OCMO3,Ochrolechia montana
OCOR60,,OCOR60,Ochrolechia oregonensis
COPO5,OCPA4,OCPA4,Ochrolechia pacifica
OCYA,OCPE,OCPE,Ochrolechia pennsylvanica
OCPS2,,OCPS2,Ochrolechia pseudopallescens
OCFR60,OCPT,OCPT,Ochrolechia pterulina
OCRH2,,OCRH2,Ochrolechia rhodoleuca
OCTRT,OCRO,OCRO,Ochrolechia rosella
OCSZ,OCSO,OCSO,Ochrolechia sorediosa
OCSU,,OCSU,Ochrolechia subathallina
OCSU6,,OCSU6,Ochrolechia subisidiata
OCSU2,,OCSU2,Ochrolechia subpallescens
OCSU5,,OCSU5,Ochrolechia subplicans
OCSUH,,OCSUH,Ochrolechia subplicans ssp. hultenii
OCSUS,,OCSUS,Ochrolechia subplicans ssp. subplicans
OCSZ,,OCSZ,Ochrolechia szatalaensis
OCTA,,OCTA,Ochrolechia tartarea
OCTR,,OCTR,Ochrolechia trachydactyla
OCTR2,,OCTR2,Ochrolechia trochophora
OCTRP,,OCTRP,Ochrolechia trochophora var. pruinirosella
OCTRT,,OCTRT,Ochrolechia trochophora var. trochophora
OCYA,OCTU,OCTU,Ochrolechia tuckermanii
OCTU2,,OCTU2,Ochrolechia turneri
OCUP60,,OCUP60,Ochrolechia upsaliensis
OCXA,,OCXA,Ochrolechia xanthostoma
OCYA,,OCYA,Ochrolechia yasudae
OCHRO,,OCHRO,Ochroma
OCPY,OCLA2,OCLA2,Ochroma lagopus
OCPY,,OCPY,Ochroma pyramidale
OCHRO2,,OCHRO2,Ochrosia
OCCO,,OCCO,Ochrosia compta
OCEL,,OCEL,Ochrosia elliptica
OCCO,OCFO2,OCFO2,Ochrosia forbesii
OCHA,,OCHA,Ochrosia haleakalae
OCHA,OCHA2,OCHA2,Ochrosia hamakuaensis
OCCO,OCHO,OCHO,Ochrosia holei
OCKA,,OCKA,Ochrosia kauaiensis
OCKI,,OCKI,Ochrosia kilaueaensis
OCKI,OCKO,OCKO,Ochrosia konaensis
OCCO,OCKO2,OCKO2,Ochrosia kondoi
OCCO,OCLA,OCLA,Ochrosia lamoureuxii
OCMA2,,OCMA2,Ochrosia mariannensis
OCCO,OCMI,OCMI,Ochrosia microcalyx
NEOP,OCOP,OCOP,Ochrosia oppositifolia
OCCO,OCSA2,OCSA2,Ochrosia sandwicensis
OCHTH,,OCHTH,Ochthochloa
OCCO4,,OCCO4,Ochthochloa compressa
OCIMU,,OCIMU,Ocimum
OCBA,OCAM2,OCAM2,Ocimum americanum
OCCA4,OCAM3,OCAM3,Ocimum americanum
OCBA,,OCBA,Ocimum basilicum
OCCA5,,OCCA5,Ocimum campechianum
OCCA4,,OCCA4,Ocimum canum
OCGR,,OCGR,Ocimum gratissimum
OCKI2,,OCKI2,Ocimum kilimandscharicum
OCCA5,OCMI2,OCMI2,Ocimum micranthum
FRSA,OCSA3,OCSA3,Ocimum salinum
OCTE2,OCSA,OCSA,Ocimum sanctum
OCTE2,,OCTE2,Ocimum tenuiflorum
OCGR,OCVI,OCVI,Ocimum viride
OCLEM,,OCLEM,Oclemena
OCAC,,OCAC,Oclemena acuminata
OCNE2,,OCNE2,Oclemena nemoralis
OCRE2,,OCRE2,Oclemena reticulata
OCBL,,OCBL,Oclemena ×blakei
OCOTE,,OCOTE,Ocotea
NECO,OCCO2,OCCO2,Ocotea coriacea
OCNE,OCCU,OCCU,Ocotea cuneata
OCFL,,OCFL,Ocotea floribunda
OCFO,,OCFO,Ocotea foeniculacea
OCFO3,,OCFO3,Ocotea foetens
NEHI2,OCGL,OCGL,Ocotea globosa
NEKR,OCKR,OCKR,Ocotea krugii
OCLE,,OCLE,Ocotea leucoxylon
NEME3,OCME,OCME,Ocotea membranacea
OCMO,,OCMO,Ocotea moschata
OCNE,,OCNE,Ocotea nemodaphne
NEPA4,OCPA,OCPA,Ocotea patens
OCPO,,OCPO,Ocotea portoricensis
NETU,OCSI,OCSI,Ocotea sintenisii
OCSP,,OCSP,Ocotea spathulata
OCWR,,OCWR,Ocotea wrightii
DIMO5,OCMO2,OCMO2,Octadesmia montana
OCTOB,,OCTOB,Octoblepharum
