"Scientific.Name","AGCP","AW","CB","EMP","GP","HI","MW","NCNE","WMVC","AK","other"
"Acer macrophyllum",NA,0.5,NA,NA,NA,NA,NA,NA,0.25,NA,NA
"Acer negundo",0.5,0.75,NA,0.5,0.5,NA,0.5,0.5,0.5,NA,NA
"Acer nigrum",0,NA,NA,0.25,NA,NA,0.25,0.25,NA,NA,NA
"Acer pensylvanicum",0.25,NA,NA,0.25,NA,NA,0.25,0.25,NA,NA,NA
"Acer platanoides",0,0,NA,0,0,NA,0,0,0.25,NA,NA
"Acer rubrum",0.5,NA,NA,0.5,0.5,NA,0.5,0.5,0.5,NA,NA
"Acer saccharinum",0.5,0.5,NA,0.75,0.5,NA,0.75,0.75,0.5,NA,NA
"Acer saccharum",0.25,0.25,NA,0.25,0,NA,0.25,0.25,0.25,NA,NA
"Acer spicatum",0,NA,NA,0.25,0.25,NA,0.25,0.25,NA,NA,NA
"Achillea millefolium",0.25,0.25,NA,0.25,0.25,0,0.25,0.25,0.25,0.25,NA
"Achillea ptarmica",0.25,0.25,NA,0.25,0.25,NA,0.25,0.25,0.25,0.25,NA
"Achnatherum diegoense",NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achnatherum hymenoides",NA,0,NA,NA,0.25,NA,0.25,0.25,0,NA,NA
"Achnatherum nelsonii",NA,0.25,NA,NA,0,NA,0,NA,0,NA,NA
"Achnatherum richardsonii",NA,0,NA,NA,0.25,NA,NA,NA,0,0.25,NA
"Achyrachaena mollis",NA,0.5,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"Achyranthes aspera",0,NA,0,0,0,0.5,NA,NA,NA,NA,NA
"Achyranthes bidentata",NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
"Acisanthera quadrata",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"Acmella iodiscaea",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"Acmella repens",0.75,NA,NA,0.75,0.75,NA,0.75,NA,NA,NA,NA
"Acmispon americanus",0.25,0,NA,0.25,0.25,NA,0.25,0.25,0.25,NA,NA
"Acnistus arborescens",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA
"Acoelorrhaphe wrightii",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aconitum columbianum",NA,0.75,NA,NA,0.75,NA,NA,NA,0.75,NA,NA
"Aconitum delphiniifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA
"Aconitum infectum",NA,0.75,NA,NA,NA,NA,NA,NA,1,NA,NA
"Aconitum noveboracense",NA,NA,NA,NA,NA,NA,0.75,0.5,NA,NA,NA
"Aconitum reclinatum",NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"Aconitum uncinatum",0.5,NA,NA,0.5,NA,NA,0.5,0.5,NA,NA,NA
"Aconogonon alaskanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA
"Aconogonon phytolaccifolium",NA,0.5,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"Acorus americanus",1,1,NA,1,1,NA,1,1,1,1,NA
"Acorus calamus",1,1,NA,1,1,NA,1,1,1,NA,NA
"Acrostichum aureum",1,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"Acrostichum danaeifolium",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"Actaea laciniata",NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA
"Actaea pachypoda",0.25,NA,NA,0,NA,NA,0.25,0,NA,NA,NA
"Actaea podocarpa",NA,NA,NA,0.25,NA,NA,0.5,NA,NA,NA,NA
"Actaea rubra",0,0.5,NA,0,0.25,NA,0.25,0.25,0.25,0.5,NA
"Actinostachys pennula",0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Adenanthera pavonina",0,NA,0,NA,NA,0.25,NA,NA,NA,NA,NA
"Adenophorus pinnatifidus",NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
"Adenostemma lavenia",NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA
"Adenostemma verbesina",NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA
"Adiantum aleuticum",0.5,0.5,NA,0.5,0.5,NA,NA,0.25,0.5,0.5,NA
"Adiantum capillus-veneris",0.25,0.75,0.75,0.25,0.75,0.25,0.25,NA,0.75,NA,NA
"Adiantum jordanii",NA,0.5,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"Adiantum latifolium",NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Adiantum macrophyllum",NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA
"Adiantum obliquum",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA
"Adiantum pedatum",0.25,NA,NA,0.5,0.5,NA,0.25,0.25,0.5,NA,NA
"Adiantum petiolatum",NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Adiantum pulverulentum",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA
"Adiantum raddianum",NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Adiantum tenerum",0.5,NA,0.25,NA,NA,0.25,NA,NA,NA,NA,NA
"Adiantum tricholepis",NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA
"Adiantum wilsonii",NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Adoxa moschatellina",NA,0.5,NA,NA,0.5,NA,0.5,0.5,0.5,0.5,NA
"Aegopodium podagraria",0.75,0.5,NA,0.25,NA,NA,0.5,0.5,0.25,NA,NA
"Aeschynomene americana",0.5,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene evenia",NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene gracilis",NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene indica",0.75,NA,0.75,0.75,0.75,NA,NA,NA,NA,NA,NA
"Aeschynomene pratensis",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene sensitiva",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene virginica",0.75,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene virginica",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aesculus flava",0.25,NA,NA,0.25,NA,NA,0.25,0.25,NA,NA,NA
"Aesculus glabra",0.25,NA,NA,0.25,0.5,NA,0.5,0.5,NA,NA,NA
"Aesculus pavia",0.25,NA,NA,0.5,0.5,NA,0.5,NA,NA,NA,NA
"Aesculus sylvatica",0.5,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"Agalinis aphylla",0.75,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"Agalinis aspera",0.25,NA,NA,0.25,0.25,NA,0.25,0.25,NA,NA,NA
"Agalinis calycina",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA
"Agalinis divaricata",0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agalinis fasciculata",0.5,NA,0.25,0.5,0.5,NA,0.5,0.5,NA,NA,NA
"Agalinis filicaulis",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agalinis filifolia",0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agalinis flexicaulis",0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agalinis georgiana",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agalinis harperi",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agalinis heterophylla",0.25,NA,NA,0.25,0.5,NA,0.5,NA,NA,NA,NA
"Agalinis linifolia",1,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"Agalinis maritima",1,NA,NA,0.75,1,NA,NA,0.75,NA,NA,NA
"Agalinis obtusifolia",0.5,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA
"Agalinis oligophylla",0.5,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"Agalinis paupercula",0.75,NA,NA,0.75,0.5,NA,1,1,NA,NA,NA
"Agalinis pulchella",0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agalinis purpurea",0.75,NA,0.75,0.75,0.75,NA,0.75,0.75,NA,NA,NA
"Agalinis skinneriana",0.25,NA,NA,0.25,0.25,NA,0.25,0.25,NA,NA,NA
"Agalinis tenella",1,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"Agalinis tenuifolia",0.25,0.75,NA,0.5,0.5,NA,0.75,0.75,0.5,NA,NA
"Agarista populifolia",0.75,NA,NA,1,NA,NA,NA,0.75,NA,NA,NA
"Agastache nepetoides",0.5,NA,NA,0.25,0.25,NA,0.25,0.25,NA,NA,NA
"Agastache urticifolia",NA,0.25,NA,NA,NA,NA,NA,NA,0.25,NA,NA
"Agave americana",0,0,0,NA,0,0,NA,NA,NA,NA,NA
"Agave sisalana",0,0,0,NA,NA,0.25,NA,NA,NA,NA,NA
"Ageratina adenophora",NA,0.25,NA,NA,NA,0.25,NA,NA,0.25,NA,NA
"Ageratina altissima",0.25,NA,NA,0.25,0,NA,0.25,0.25,0.25,NA,NA
"Ageratina jucunda",0.25,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA
"Ageratina riparia",NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
"Ageratum conyzoides",0.25,0.25,0.25,0.25,NA,0.5,0.25,0.25,NA,NA,NA
"Ageratum houstonianum",0.25,0.25,NA,0.25,0.25,0.25,NA,0.25,NA,NA,NA
"Aglaonema commutatum",0.25,NA,0,NA,NA,0.25,NA,NA,NA,NA,NA
"Agoseris X agrestis",NA,0.5,NA,NA,0,NA,NA,NA,0,NA,NA
"Agoseris X elata",NA,0.5,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"Agoseris aurantiaca",NA,0.5,NA,NA,NA,NA,NA,NA,0.25,0.5,NA
"Agoseris glauca",NA,0.25,NA,NA,0.25,NA,0.25,0.25,0.5,0.5,NA
"Agoseris monticola",NA,0.5,NA,NA,NA,NA,NA,NA,0,NA,NA
"Agoseris parviflora",NA,0.25,NA,NA,0,NA,NA,NA,0,NA,NA
"Agrimonia gryposepala",0.25,0.5,NA,0.25,0.5,NA,0.25,0.25,0.75,NA,NA
"Agrimonia parviflora",0.5,0.5,NA,0.75,0.75,NA,0.75,0.5,0.75,NA,NA
"Agrimonia rostellata",0.5,NA,NA,0.25,0.5,NA,0.25,0.25,NA,NA,NA
"Agrimonia striata",0,0.25,NA,0.25,0.25,NA,0.25,0.25,0.25,NA,NA
"Agrostis canina",0.25,NA,NA,0.25,NA,0.25,0,0,0,NA,NA
"Agrostis capillaris",0.5,0.5,NA,0.5,0.5,0,0.5,0.5,0.5,0.25,NA
"Agrostis clavata",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"Agrostis elliottiana",0.25,0.25,NA,0.25,0.25,NA,0.25,0.25,0.25,NA,NA
"Agrostis exarata",NA,0.75,NA,0.75,0.75,0.75,NA,0.5,0.75,0.75,NA
"Agrostis gigantea",0.75,0.75,NA,0.75,0.75,NA,0.75,0.75,0.5,0.5,NA
"Agrostis hendersonii",NA,0.75,NA,NA,NA,NA,NA,NA,0.75,NA,NA
"Agrostis hyemalis",0.5,0.75,0.75,0.5,0.75,0.5,0.5,0.5,0.75,NA,NA
"Agrostis idahoensis",NA,0.75,NA,NA,0.75,NA,NA,NA,0.75,0.75,NA
"Agrostis lacuna-vernalis",NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis mertensii",0.25,0.25,NA,0.25,0.25,NA,NA,0.25,0.25,0.25,NA
"Agrostis microphylla",NA,0.75,NA,NA,NA,NA,NA,NA,0.75,NA,NA
"Agrostis oregonensis",NA,0.75,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"Agrostis pallens",NA,0.25,NA,NA,NA,NA,NA,0,0,NA,NA
"Agrostis pauzhetica",NA,0.25,NA,NA,NA,NA,NA,NA,0.25,NA,NA
"Agrostis perennans",0.25,0.5,NA,0.25,0.5,NA,0.5,0.25,0.75,NA,NA
"Agrostis rossiae",NA,0.5,NA,NA,NA,NA,NA,NA,0,NA,NA
"Agrostis sandwicensis",NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
"Agrostis scabra",0.5,0.5,NA,0.5,0.5,NA,0.5,0.5,0.5,0.5,NA
"Agrostis stolonifera",0.75,0.75,NA,0.75,0.75,0.25,0.75,0.75,0.5,0.5,NA
"Agrostis vinealis",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA
"Ailanthus altissima",0.25,0.25,NA,0.25,0.25,0.25,0.25,0,0.25,NA,NA
"Aira caryophyllea",0.5,0.25,NA,0.5,0.25,0.25,0.25,0,0.25,0.5,NA
"Albizia lebbeck",0,NA,0,NA,0,0.25,NA,NA,NA,NA,NA
"Alchornea latifolia",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA
"Alectra fluminensis",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"Aletris aurea",0.75,NA,NA,0.75,0.75,NA,NA,NA,NA,NA,NA
"Aletris bracteata",0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aletris farinosa",0.5,0.5,NA,0.5,0.5,NA,0.5,0.5,NA,NA,NA
"Aletris lutea",0.75,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"Aletris obovata",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aleurites moluccanus",0,NA,0,NA,NA,0.25,NA,NA,NA,NA,NA
"Alhagi maurorum",0.5,0.5,NA,0.5,0.5,NA,NA,NA,0.5,NA,NA
"Aliciella pinnatifida",NA,0.25,NA,NA,0.5,NA,NA,NA,0.5,NA,NA
"Alisma gramineum",1,1,NA,1,1,NA,1,1,1,NA,NA
"Alisma lanceolatum",NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"Alisma plantago-aquatica",NA,NA,NA,NA,NA,NA,NA,1,1,1,NA
"Alisma subcordatum",1,NA,NA,1,1,NA,1,1,1,NA,NA
"Alisma triviale",1,1,NA,1,1,NA,1,1,1,1,NA
"Allenrolfea occidentalis",NA,0.75,NA,NA,0.75,NA,NA,NA,0.75,NA,NA
"Alliaria petiolata",0.25,0.25,NA,0.25,0.25,NA,0.5,0.25,0.25,0.25,NA
"Allium bisceptrum",NA,0.25,NA,NA,0.25,NA,NA,NA,0.5,NA,NA
"Allium canadense",0.25,NA,NA,0.25,0.25,NA,0.25,0.25,0.25,NA,NA
"Allium cernuum",0.25,0.25,NA,0.25,0,NA,0.25,0.25,0.25,NA,NA
"Allium douglasii",NA,0.5,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"Allium geyeri",NA,0.25,NA,NA,0.25,NA,NA,NA,0.25,NA,NA
"Allium hickmanii",NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium hyalinum",NA,0.25,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"Allium lemmonii",NA,0.25,NA,NA,NA,NA,NA,NA,0.25,NA,NA
"Allium madidum",NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"Allium schoenoprasum",0.25,0.75,NA,0.25,0.25,NA,0.5,0.25,0.75,0.5,NA
"Allium tricoccum",0.25,NA,NA,0.25,0.25,NA,0.25,0.25,NA,NA,NA
"Allium validum",NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"Allium vineale",0.25,0.25,NA,0.25,0.25,NA,0.25,0.25,0.25,0,NA
"Allolepis texana",NA,0.5,NA,NA,0.5,NA,NA,NA,NA,NA,NA
"Allophyllum gilioides",NA,0.5,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"Almutaster pauciflorus",NA,0.75,NA,NA,0.75,NA,NA,NA,0.75,NA,NA
"Alnus glutinosa",0.75,0.75,NA,0.75,0.75,NA,0.75,0.75,0.75,NA,NA
"Alnus incana",0.25,0.75,NA,0.25,0.75,NA,0.75,0.75,0.75,0.5,NA
"Alnus maritima",1,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"Alnus oblongifolia",NA,0.75,NA,NA,0.75,NA,NA,NA,0.75,NA,NA
"Alnus rhombifolia",NA,0.75,NA,NA,NA,NA,NA,NA,0.75,NA,NA
"Alnus rubra",NA,0.75,NA,NA,NA,NA,NA,NA,0.5,0.5,NA
"Alnus serrulata",0.75,NA,NA,1,1,NA,1,1,NA,NA,NA
"Alnus viridis",NA,0.75,NA,0.5,0.5,NA,0.5,0.5,0.75,0.5,NA
"Alocasia cucullata",NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
"Alocasia macrorrhizos",0.75,0.75,0.75,0.75,0.75,0.5,NA,NA,NA,NA,NA
"Alopecurus aequalis",1,1,NA,1,1,NA,1,1,1,1,NA
"Alopecurus arundinaceus",NA,0.5,NA,0.75,0.75,NA,0.75,NA,0.5,NA,NA
"Alopecurus carolinianus",0.75,0.75,NA,0.75,0.75,NA,0.75,0.75,0.75,NA,NA
"Alopecurus geniculatus",1,1,NA,1,1,NA,1,1,1,1,NA
"Alopecurus magellanicus",NA,0.75,NA,NA,0.75,NA,NA,NA,0.75,0.75,NA
"Alopecurus myosuroides",0.75,0.75,NA,0.75,0.75,NA,0.75,0.75,0.75,NA,NA
"Alopecurus pratensis",0.5,0.75,NA,0.75,0.75,NA,0.75,0.5,0.5,0.75,NA
"Alopecurus saccatus",NA,1,NA,NA,NA,NA,NA,NA,0.75,NA,NA
"Alophia drummondii",0.25,NA,NA,0.25,0.25,NA,NA,NA,NA,NA,NA
"Alpinia purpurata",NA,NA,0,NA,NA,0.25,NA,NA,NA,NA,NA
"Alpinia zerumbet",0,NA,0.25,NA,NA,0.25,NA,NA,NA,NA,NA
"Alsophila amintae",NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA
"Alsophila brooksii",NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Alsophila bryophila",NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA
"Alsophila portoricensis",NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA
"Alternanthera ficoidea",0.25,NA,0.25,NA,0.25,0.25,NA,NA,NA,NA,NA
"Alternanthera maritima",0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alternanthera paronychioides",1,NA,0.5,1,1,NA,NA,NA,NA,NA,NA
"Alternanthera philoxeroides",1,1,1,1,1,NA,1,NA,1,NA,NA
"Alternanthera sessilis",1,NA,0.5,0.5,NA,0.5,NA,NA,NA,NA,NA
"Althaea officinalis",0.75,NA,NA,0.75,0.75,NA,0.75,0.5,NA,NA,NA
"Alysicarpus vaginalis",0.5,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA
"Alyxia stellata",NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
"Amaranthus X texensis",NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA
"Amaranthus acanthochiton",0.25,0.25,NA,NA,0.25,NA,NA,NA,0.25,NA,NA
"Amaranthus albus",0.25,0.25,NA,0.25,0.25,NA,0.25,0.25,0.25,0.25,NA
"Amaranthus arenicola",0.25,0.25,NA,0,0.25,NA,0.25,0.25,0.5,NA,NA
"Amaranthus australis",1,NA,1,1,1,NA,NA,NA,NA,NA,NA
"Amaranthus blitoides",0.5,0.25,NA,0.5,0.5,0,0.25,0.25,0.5,0,NA
"Amaranthus blitum",0.25,0.5,0,0.25,0.25,0.25,0.5,0.25,0.25,NA,NA
"Amaranthus californicus",NA,0.75,NA,NA,0.75,NA,0.75,NA,0.75,NA,NA
"Amaranthus cannabinus",1,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"Amaranthus crassipes",0.5,0.5,0.25,0.5,0.5,NA,NA,0.5,0.5,NA,NA
"Amaranthus floridanus",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus graecizans",0.25,NA,NA,0.25,NA,NA,NA,0.25,NA,NA,NA
"Amaranthus greggii",0.5,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA
"Amaranthus obcordatus",NA,0.25,NA,NA,0.25,NA,NA,NA,0.25,NA,NA
"Amaranthus palmeri",0.25,0.25,NA,0.25,0.25,NA,0.25,0.25,0.25,NA,NA
"Amaranthus pumilus",0.75,NA,NA,0.75,NA,NA,NA,0.75,NA,NA,NA
"Amaranthus retroflexus",0.5,0.25,NA,0.25,0.25,0,0.25,0.25,0.25,0,NA
"Amaranthus spinosus",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,NA,NA
"Amaranthus tricolor",0,NA,0,0,NA,NA,0,0.25,NA,NA,NA
"Amaranthus tuberculatus",0.75,0.75,NA,0.75,0.5,NA,1,1,1,NA,NA
"Amaranthus viridis",0.5,0.5,0,0.5,0.5,0.25,0.5,0.25,0.5,NA,NA
"Amaranthus watsonii",NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amauropelta globulifera",NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
"Amblyopappus pusillus",NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ambrosia artemisiifolia",0.25,0.25,NA,0.25,0.25,0,0.25,0.25,0.25,0.25,NA
"Ambrosia grayi",NA,NA,NA,NA,0.5,NA,NA,NA,0.5,NA,NA
"Ambrosia monogyra",NA,0,NA,NA,0.25,NA,NA,NA,0,NA,NA
"Ambrosia psilostachya",0.5,0.25,NA,0.5,0.25,NA,0.25,0.5,0.25,NA,NA
"Ambrosia pumila",NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ambrosia trifida",0.5,0.5,NA,0.5,0.5,NA,0.5,0.5,0.5,0.5,NA
"Amelanchier alnifolia",NA,0.25,NA,NA,0.25,NA,0.25,0.25,0.25,0,NA
"Amelanchier arborea",0.25,0.25,NA,0.5,0.25,NA,0.25,0.25,NA,NA,NA
"Amelanchier bartramiana",NA,NA,NA,0.5,NA,NA,NA,0.5,NA,NA,NA
"Amelanchier canadensis",0.5,NA,NA,0.5,NA,NA,NA,0.5,NA,NA,NA
"Amelanchier cusickii",NA,0.25,NA,NA,NA,NA,NA,NA,0.25,NA,NA
"Amelanchier intermedia",0.75,NA,NA,0.75,0.75,NA,0.75,0.75,NA,NA,NA
"Amelanchier nantucketensis",0.25,NA,NA,0.25,NA,NA,NA,0.25,NA,NA,NA
"Amelanchier spicata",0.25,NA,NA,0.25,0.25,NA,0.25,0.25,NA,NA,NA
"Amelanchier utahensis",NA,0.25,NA,NA,0.5,NA,NA,NA,0,NA,NA
"Amianthium muscitoxicum",0.5,NA,NA,0.5,NA,NA,0.5,0.5,NA,NA,NA
"Ammannia auriculata",1,1,1,1,1,NA,1,NA,1,NA,NA
"Ammannia baccifera",NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA
"Ammannia coccinea",1,1,1,1,1,1,1,1,1,NA,NA
"Ammannia latifolia",1,NA,1,1,1,NA,NA,1,NA,NA,NA
"Ammannia robusta",1,1,NA,1,1,NA,1,1,1,NA,NA
"Ammophila arenaria",0.25,0.25,NA,NA,NA,0.25,0.25,0.25,0.25,NA,NA
"Ammophila breviligulata",0,0.25,NA,0.25,NA,NA,0,0,0,NA,NA
"Ammoselinum butleri",0.5,NA,NA,0.5,0.5,NA,0.5,NA,NA,NA,NA
"Amorpha californica",NA,0.5,NA,NA,NA,NA,NA,NA,0.25,NA,NA
"Amorpha confusa",0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amorpha fruticosa",0.75,0.75,NA,0.75,0.75,NA,0.75,0.75,0.75,NA,NA
"Amorpha georgiana",0.75,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"Amorpha herbacea",0.5,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"Amorpha nana",NA,0.25,NA,NA,0,NA,0.25,0.25,0.25,NA,NA
"Amorpha nitens",0.5,NA,NA,0.5,NA,NA,0.75,NA,NA,NA,NA
"Amorpha paniculata",0.75,NA,NA,0.75,0.75,NA,NA,NA,NA,NA,NA
"Amorpha roemeriana",0.25,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA
"Ampelaster carolinianus",1,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"Ampelopsis arborea",0.5,0.5,0.5,0.75,0.5,NA,0.75,0.75,0.5,NA,NA
"Ampelopsis cordata",0.5,0.5,NA,0.5,0.5,NA,0.5,0.5,NA,NA,NA
"Amphicarpaea bracteata",0.5,0.75,NA,0.5,0.25,NA,0.5,0.5,0.25,NA,NA
"Amphicarpum amphicarpon",0.75,NA,NA,0.75,NA,NA,NA,0.75,NA,NA,NA
"Amphicarpum muehlenbergianum",0.75,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"Amphitecna latifolia",0.25,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Amsinckia spectabilis",NA,0.25,NA,NA,NA,NA,0.25,0.25,0.25,NA,NA
"Amsonia ludoviciana",0.5,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"Amsonia rigida",0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
