Site_Type	Project_ID	Observation_ID	Observer_Code	Observation_Serial	Observation_Description	Observation_Label	Observation_Type	Latitude	Longitude	Error	Date	Prefix	Year	Mon	Day	Nation	State	County	Island	FIPS	Elevation	Community_Name	Community_Description	Structure	Landscape	HillslopePosition	Position	Aspect	Slope	PlotBearing	Map Unit	Soil Series	Soil Taxon	Drainage Class	Restriction_Depth	WT_Depth	MinWT_Depth	Soil_Notes	Litter_Cover	Snag_Count	Snag_Diam	Plot_Area_m	BA_Count	BA_Factor	Cowardin	HGM	f1	f2	f3	s1	s2	s3	t1	t2	t3	t4	Tree_Cover	Subcanopy_Cover	TallShrub_Cover	Shrub_Cover	Herb_Cover	Moss_Cover	Aggregated_Overstory	Aggregated_Subcanopy	Aggregated_TallShrub	Aggregated_Shrub	Aggregated_Understory	Estimated_Understory	DWD_Hits1	DWD_Hits2	DWD_Hits3	DWD_Hits4	DWD_Hits5	Transect_Length	Log_Cover	Rock_Cover	Lichen_Cover	Water_Cover	MaxWater_Cover	DBH_lower	DBH_upper	Canopy_lower	Canopy_upper	User_Pedon_ID	User_Plot_ID	SoilTexture	TPI	Upper	Middle	Lower	Coastal	Floodplain	Inland	Hydric	Nonhydric	Aquatic	Wet	Moist	Dry	Mucky	Rocky	Sandy	Loamy	Calcareous	Euic	Dysic	Salty	Fresh	Natural	Seminatural	Cultural	MLRA	Cold	Cool	Mild	Warm	Hot	Humid	Subhumid	Arid	Microthermal	Mesothermal	Megathermal
loamy inland		18	GRR.GJS	0		Sevier County, Tennessee 1642m #18	General	35.6625544867	-83.4551009595	10	0		0000	00	00	USA	Tennessee	Sevier County			1642							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		19	GRR.GJS	0		New Hanover County, North Carolina 12m #19	General	34.1175704556	-77.9077683381	10	0		0000	00	00	USA	North Carolina	New Hanover County			12							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		2	GRR.GJS	0		Coos County, New Hampshire 1809m #2	General	44.2664058971	-71.3045439468	10	0		0000	00	00	USA	New Hampshire	Coos County		33007	1809							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		20	GRR.GJS	0		Highlands County, Florida 40m #20	General	27.2054464194	-81.3123328714	10	0		0000	00	00	USA	Florida	Highlands County			40							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		21	GRR.GJS	0		Miami-Dade County, Florida 4m #21	General	25.2029872153	-80.7472108825	10	0		0000	00	00	USA	Florida	Miami-Dade County		12086	4							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		22	GRR.GJS	0		San Jacinto County, Texas 96m #22	General	30.4889598398	-95.2066005497	10	0		0000	00	00	USA	Texas	San Jacinto County			96							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		23	GRR.GJS	0		Perry County, Indiana 235m #23	General	38.10680425	-86.5913654013	10	0		0000	00	00	USA	Indiana	Perry County			229.743							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		24	GRR.GJS	0		Hamilton County, Indiana 248m #24	General	40.0871106721	-85.9411776814	10	0		0000	00	00	USA	Indiana	Hamilton County		18057	247							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		25	GRR.GJS	0		McLean County, Illinois 256m #25	General	40.467824433	-88.8351971298	10	0		0000	00	00	USA	Illinois	McLean County			256							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		26	GRR.GJS	0		Sauk County, Wisconsin 219m #26	General	43.207178916	-90.1540133923	10	0		0000	00	00	USA	Wisconsin	Sauk County			219							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		27	GRR.GJS	0		Baraga County, Michigan 557m #27	General	46.6528763985	-88.1902442242	10	0		0000	00	00	USA	Michigan	Baraga County		26013	557							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		28	GRR.GJS	0		Cook County, Minnesota 540m #28	General	47.7324378569	-90.5801748584	10	0		0000	00	00	USA	Minnesota	Cook County		27031	540							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		29	GRR.GJS	0		Wexford County, Michigan 474m #29	General	44.2780553416	-85.6361010372	10	0		0000	00	00	USA	Michigan	Wexford County		26165	464.136							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		3	GRR.GJS	0		Ottawa County, Michigan 215m #3	General	43.112081774	-86.2627955454	10	0		0000	00	00	USA	Michigan	Ottawa County		26139	196.235							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		30	GRR.GJS	0		Manistee County, Michigan 234m #30	General	44.2199964931	-85.9933374496	10	0		0000	00	00	USA	Michigan	Manistee County		26101	233.499							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		31	GRR.GJS	0		Otsego County, Michigan 448m #31	General	45.1023006341	-84.7774328756	10	0		0000	00	00	USA	Michigan	Otsego County		26137	440.396							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		32	GRR.GJS	0		Ogemaw County, Michigan 318m #32	General	44.4178328127	-84.1246158513	10	0		0000	00	00	USA	Michigan	Ogemaw County		26129	313.374							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		33	GRR.GJS	0		Oscoda County, Michigan 284m #33	General	44.6548271288	-84.0803578766	10	0		0000	00	00	USA	Michigan	Oscoda County		26135	278							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		34	GRR.GJS	0		Iosco County, Michigan 265m #34	General	44.4121221062	-83.7191556959	10	0		0000	00	00	USA	Michigan	Iosco County		26069	254							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		35	GRR.GJS	0		Mason County, Michigan 208m #35	General	44.1487157729	-86.3983098155	10	0		0000	00	00	USA	Michigan	Mason County			200.083							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		36	GRR.GJS	0		Allegan County, Michigan 210m #36	General	42.554476899	-86.2262747847	10	0		0000	00	00	USA	Michigan	Allegan County		26005	201							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		37	GRR.GJS	0		Porter County, Indiana 193m #37	General	41.6489492186	-87.0789308416	10	0		0000	00	00	USA	Indiana	Porter County		18127	184							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		38	GRR.GJS	0		LaPorte County, Indiana 225m #38	General	41.4543093083	-86.8952364519	10	0		0000	00	00	USA	Indiana	LaPorte County		18091	224.072							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		39	GRR.GJS	0		Otoe County, Nebraska 355m #39	General	40.6565553484	-96.0410914047	10	0		0000	00	00	USA	Nebraska	Otoe County		31131	355							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		4	GRR.GJS	0		Oscoda County, Michigan 363m #4	General	44.5650203218	-84.1071268129	10	0		0000	00	00	USA	Michigan	Oscoda County		26135	359.264							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		40	GRR.GJS	0		Steele County, Minnesota 370m #40	General	43.9878007566	-93.2047738857	10	0		0000	00	00	USA	Minnesota	Steele County		27147	370							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		41	GRR.GJS	0		Coos County, New Hampshire 522m #41	General	44.2343129168	-71.4226326308	10	0		0000	00	00	USA	New Hampshire	Coos County			522							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		42	GRR.GJS	0		Coos County, New Hampshire 758m #42	General	44.2688151014	-71.3589820489	10	0		0000	00	00	USA	New Hampshire	Coos County			758							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		43	GRR.GJS	0		Coos County, New Hampshire 1114m #43	General	44.2694099667	-71.3304285168	10	0		0000	00	00	USA	New Hampshire	Coos County		33007	1114							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		44	GRR.GJS	0		Caledonia County, Vermont 173m #44	General	44.4154493859	-72.0125605006	10	0		0000	00	00	USA	Vermont	Caledonia County			173							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		45	GRR.GJS	0		Chittenden County, Vermont 37m #45	General	44.3839810141	-73.224657937	10	0		0000	00	00	USA	Vermont	Chittenden County			37							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		46	GRR.GJS	0		Rutland County, Vermont 1230m #46	General	43.6021049992	-72.8190341937	10	0		0000	00	00	USA	Vermont	Rutland County			1230							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		47	GRR.GJS	0		Hampshire County, Massachusetts 37m #47	General	42.346146165	-72.6121821955	10	0		0000	00	00	USA	Massachusetts	Hampshire County			37							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		48	GRR.GJS	0		Barnstable County, Massachusetts 11m #48	General	41.7241154003	-70.0518821532	10	0		0000	00	00	USA	Massachusetts	Barnstable County			11							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		49	GRR.GJS	0		Hancock County, Maine 25m #49	General	44.2520547729	-68.3198724871	10	0		0000	00	00	USA	Maine	Hancock County			25							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		5	GRR.GJS	0		Chippewa County, Michigan 183m #5	General	46.7618339008	-84.9876860158	10	0		0000	00	00	USA	Michigan	Chippewa County			183							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		50	GRR.GJS	0		Suffolk County, New York 10m #50	General	40.7145576848	-73.2765277083	10	0		0000	00	00	USA	New York	Suffolk County			10							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		51	GRR.GJS	0		Essex County, New York 1563m #51	General	44.1131418394	-73.9232652097	10	0		0000	00	00	USA	New York	Essex County			1563							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		52	GRR.GJS	0		Franklin County, New York 497m #52	General	44.2386584075	-74.4556696098	10	0		0000	00	00	USA	New York	Franklin County		36033	497							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		53	GRR.GJS	0		Oneida County, New York 144m #53	General	43.1786085294	-75.551411403	10	0		0000	00	00	USA	New York	Oneida County			144							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		54	GRR.GJS	0		Madison County, Virginia 1135m #54	General	38.5898774662	-78.376394756	10	0		0000	00	00	USA	Virginia	Madison County			1135							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		55	GRR.GJS	0		Page County, Virginia 784m #55	General	38.5980866066	-78.3874592497	10	0		0000	00	00	USA	Virginia	Page County			784							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		56	GRR.GJS	0		Page County, Virginia 392m #56	General	38.6148618067	-78.402449854	10	0		0000	00	00	USA	Virginia	Page County			392							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		57	GRR.GJS	0		Page County, Virginia 249m #57	General	38.6412738239	-78.4627691905	10	0		0000	00	00	USA	Virginia	Page County			249							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		58	GRR.GJS	0		Stafford County, Virginia 54m #58	General	38.3823170826	-77.4279336675	10	0		0000	00	00	USA	Virginia	Stafford County			54							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
