"ac.binomial","Northwest","Southwest","NorthCentral","Southcentral","Northeast","Southeast","Alaska","Hawaii","Caribbean","CanadaWest","CanadaEast","Arctic","Mexico"
"Acalypha confertiflora",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha conspicua",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha costaricensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha cuspidata",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha deamii",0,0,1,1,1,1,0,0,0,0,0,0,0
"Acalypha delgadoana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha depauperata",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha dioica",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha diversifolia",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha euphrasiostachys",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha ferdinandi",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha filipes",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha firmula",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha flagellata",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha fournieri",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha fredericii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha gaumeri",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha gigantesca",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha glandulosa",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha gracilens",0,0,1,1,1,1,0,0,0,0,0,0,0
"Acalypha grisea",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha gummifera",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha haploclada",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha havanensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha hypogaea",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha karwinskii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha katharinae",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha lagascana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha lagopus",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha lancetillae",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha langiana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha laxiflora",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha leptopoda",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha liebmanniana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha lignosa",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha lindeniana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha longipes",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha longispicata",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha longistipularis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha macrostachya",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha macrostachyoides",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha melochiifolia",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha mexicana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha michoacanensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha microcephala",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha microphylla",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha mollis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha monococca",0,0,1,1,1,0,0,0,0,0,0,0,0
"Acalypha monostachya",0,0,0,1,0,0,0,0,0,0,0,0,1
"Acalypha mortoniana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha multispicata",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha neomexicana",0,1,0,1,0,0,0,0,0,0,0,0,1
"Acalypha nubicola",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha ocymoides",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha oligantha",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha oligodonta",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha oreopola",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha ostryifolia",0,1,1,1,1,1,0,0,1,0,0,0,0
"Acalypha papillosa",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha persimilis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha phleoides",0,1,0,1,0,0,0,0,0,0,0,0,1
"Acalypha pippenii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha poiretii",0,0,0,1,0,0,0,0,1,0,0,0,1
"Acalypha polystachya",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha portoricensis",0,0,0,0,0,0,0,0,1,0,0,0,0
"Acalypha purpurascens",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha purpusii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha radians",0,0,0,1,0,0,0,0,0,0,0,0,1
"Acalypha rafaelensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha rhombifolia",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha rhomboidea",0,0,1,1,1,1,0,0,0,0,1,0,0
"Acalypha sabulicola",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha salvadorensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha saxicola",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha schiedeana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha schlechtendaliana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha schlumbergeri",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha seleriana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha sessilifolia",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha setosa",0,0,0,0,0,0,0,0,1,0,0,0,1
"Acalypha skutchii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha subterranea",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha subtomentosa",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha synoica",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha tacanensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha tenuicauda",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha trachyloba",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha tricholoba",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha trilaciniata",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha triloba",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha umbrosa",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha vagans",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha vallartae",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha verbenacea",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha veronicoides",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha villosa",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha virginica",0,0,1,1,1,1,0,0,0,0,0,0,0
"Acamptopappus shockleyi",0,1,0,0,0,0,0,0,0,0,0,0,0
"Acamptopappus sphaerocephalus",0,1,0,0,0,0,0,0,0,0,0,0,0
"Acanthocereus castellae",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acanthocereus chiapensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acanthocereus cuixmalensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acanthocereus fosterianus",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acanthocereus hesperius",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acanthocereus macdougallii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acanthocereus maculatus",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acanthocereus oaxacensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acanthocereus rosei",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acanthocereus tepalcatepecanus",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acanthocereus tetragonus",0,0,0,1,0,1,0,0,1,0,0,0,1
"Acanthogilia gloriosa",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acanthomintha duttonii",0,1,0,0,0,0,0,0,0,0,0,0,0
"Acanthomintha ilicifolia",0,1,0,0,0,0,0,0,0,0,0,0,1
"Acanthomintha lanceolata",0,1,0,0,0,0,0,0,0,0,0,0,0
"Acanthomintha obovata",0,1,0,0,0,0,0,0,0,0,0,0,0
"Acanthoscyphus parishii",0,1,0,0,0,0,0,0,0,0,0,0,0
"Acanthospermum hispidum",0,0,0,0,0,0,0,0,1,0,0,0,0
"Acanthothamnus aphyllus",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acer circinatum",1,1,0,0,0,0,0,0,0,1,0,0,0
"Acer floridanum",0,0,1,1,1,1,0,0,0,0,0,0,0
"Acer glabrum",1,1,1,0,0,0,1,0,0,1,0,0,0
"Acer grandidentatum",1,1,0,1,0,0,0,0,0,0,0,0,1
"Acer leucoderme",0,0,0,1,0,1,0,0,0,0,0,0,0
"Acer macrophyllum",1,1,0,0,0,0,0,0,0,1,0,0,0
"Acer negundo",1,1,1,1,1,1,0,0,0,1,1,0,1
"Acer nigrum",0,0,1,1,1,1,0,0,0,0,1,0,0
"Acer pensylvanicum",0,0,0,0,1,1,0,0,0,0,1,0,0
"Acer rubrum",0,0,1,1,1,1,0,0,0,1,1,0,0
"Acer saccharinum",0,0,1,1,1,1,0,0,0,0,1,0,0
"Acer saccharum",0,0,1,1,1,1,0,0,0,0,1,0,0
"Acer skutchii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acer spicatum",0,0,1,0,1,1,0,0,0,1,1,0,0
"Acharagma aguirreanum",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acharagma roseanum",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achatocarpus gracilis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achatocarpus nigricans",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achatocarpus oaxacanus",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achillea alpina",0,0,1,0,0,0,1,0,0,1,1,1,0
"Achillea millefolium",1,1,1,1,1,1,1,0,0,1,1,1,1
"Achimenes admirabilis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achimenes antirrhina",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achimenes brevifolia",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achimenes candida",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achimenes cettoana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achimenes dulcis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achimenes erecta",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achimenes fimbriata",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achimenes flava",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achimenes glabrata",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achimenes grandiflora",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achimenes heterophylla",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achimenes hintoniana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achimenes longiflora",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achimenes mexicana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achimenes misera",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achimenes nayaritensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achimenes obscura",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achimenes occidentalis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achimenes patens",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achimenes pedunculata",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achimenes skinneri",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achimenes woodii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achlys triphylla",1,1,0,0,0,0,0,0,0,1,0,0,0
"Achyrachaena mollis",1,1,0,0,0,0,0,0,0,0,0,0,1
"Achyranthes atollensis",0,0,0,0,0,0,0,1,0,0,0,0,0
"Achyranthes mutica",0,0,0,0,0,0,0,1,0,0,0,0,0
"Achyranthes splendens",0,0,0,0,0,0,0,1,0,0,0,0,0
"Achyrocline deflexa",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achyrocline guerreroana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achyrocline oaxacana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achyrocline vargasiana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achyrocline ventosa",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achyronychia cooperi",0,1,0,0,0,0,0,0,0,0,0,0,1
"Achyropappus anthemoides",0,0,0,0,0,0,0,0,0,0,0,0,1
"Achyropappus queretarensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acianthera angustifolia",0,0,0,0,0,0,0,0,1,0,0,0,1
"Acianthera angustisepala",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acianthera appendiculata",0,0,0,0,0,0,0,0,1,0,0,0,0
"Acianthera breedlovei",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acianthera chrysantha",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acianthera circumplexa",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acianthera erinacea",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acianthera eximia",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acianthera greenwoodii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acianthera hartwegiifolia",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acianthera herrerae",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acianthera hintonii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acianthera hondurensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acianthera johnsonii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acianthera majakoluckae",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acianthera obscura",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acianthera pollardiana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acianthera pubescens",0,0,0,0,0,0,0,0,1,0,0,0,1
"Acianthera sotoana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acianthera testifolia",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acianthera tikalensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acianthera unguicallosa",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acianthera violacea",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acidocroton madrigalensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acineta barkeri",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acineta hagsateri",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acineta salazarii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Aciotis indecora",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acisanthera erecta",0,0,0,0,0,0,0,0,1,0,0,0,1
"Acleisanthes acutifolia",0,0,0,1,0,0,0,0,0,0,0,0,1
"Acleisanthes angustifolia",0,0,0,1,0,0,0,0,0,0,0,0,1
"Acleisanthes anisophylla",0,0,0,1,0,0,0,0,0,0,0,0,1
"Acleisanthes chenopodioides",0,1,0,1,0,0,0,0,0,0,0,0,1
"Acleisanthes crassifolia",0,0,0,1,0,0,0,0,0,0,0,0,1
"Acleisanthes diffusa",0,1,0,1,0,0,0,0,0,0,0,0,0
"Acleisanthes lanceolata",0,1,0,1,0,0,0,0,0,0,0,0,1
"Acleisanthes longiflora",0,1,0,1,0,0,0,0,0,0,0,0,1
"Acleisanthes nana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acleisanthes nevadensis",0,1,0,0,0,0,0,0,0,0,0,0,0
"Acleisanthes obtusa",0,0,0,1,0,0,0,0,0,0,0,0,1
"Acleisanthes palmeri",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acleisanthes parvifolia",0,0,0,1,0,0,0,0,0,0,0,0,0
"Acleisanthes purpusiana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acleisanthes undulata",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acleisanthes wrightii",0,0,0,1,0,0,0,0,0,0,0,0,0
"Acmella filipes",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acmella iodiscaea",0,0,0,0,0,0,0,0,1,0,0,0,0
"Acmella pilosa",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acmella radicans",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acmella ramosa",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acmella repens",0,0,1,1,1,1,0,0,0,0,0,0,1
"Acmispon americanus",1,1,1,1,1,1,0,0,0,1,0,0,0
"Acmispon argophyllus",0,1,0,0,0,0,0,0,0,0,0,0,1
"Acmispon argyraeus",0,1,0,0,0,0,0,0,0,0,0,0,1
"Acmispon brachycarpus",1,1,0,1,0,0,0,0,0,0,0,0,1
"Acmispon cytisoides",0,1,0,0,0,0,0,0,0,0,0,0,0
"Acmispon dendroideus",0,1,0,0,0,0,0,0,0,0,0,0,0
"Acmispon denticulatus",1,1,0,0,0,0,0,0,0,1,0,0,0
"Acmispon distichus",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acmispon flexuosus",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acmispon glaber",0,1,0,0,0,0,0,0,0,0,0,0,1
"Acmispon grandiflorus",0,1,0,0,0,0,0,0,0,0,0,0,1
"Acmispon haydonii",0,1,0,0,0,0,0,0,0,0,0,0,1
"Acmispon heermannii",0,1,0,0,0,0,0,0,0,0,0,0,1
"Acmispon junceus",0,1,0,0,0,0,0,0,0,0,0,0,0
"Acmispon maritimus",0,1,0,0,0,0,0,0,0,0,0,0,1
"Acmispon mearnsii",0,1,0,0,0,0,0,0,0,0,0,0,0
"Acmispon micranthus",0,1,0,0,0,0,0,0,0,0,0,0,1
"Acmispon neomexicanus",0,1,0,0,0,0,0,0,0,0,0,0,1
"Acmispon nevadensis",1,1,0,0,0,0,0,0,0,1,0,0,1
"Acmispon niveus",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acmispon nudatus",0,0,0,0,0,0,0,0,0,0,0,0,1
